"filename", "language", "JSON", "JSON with Comments", "JavaScript", "TypeScript", "SCSS", "HTML", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\core\services\auth.service.ts", "TypeScript", 0, 0, 0, 61, 0, 0, 0, 0, 18, 11, 90
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\core\services\cart.service.ts", "TypeScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 10, 50
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\core\services\categories.service.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 5, 23
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\core\services\configurator.service.ts", "TypeScript", 0, 0, 0, 46, 0, 0, 0, 0, 0, 6, 52
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\core\services\filters.service.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 6, 15
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\core\services\order.service.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 5, 27
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\core\services\products.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 14
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\core\services\products.service.ts", "TypeScript", 0, 0, 0, 96, 0, 0, 0, 0, 0, 17, 113
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\core\services\user.service.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 4, 8, 40
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\core\services\validation.service.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 4, 22
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\informations\about-us\about-us.component.html", "HTML", 0, 0, 0, 0, 0, 40, 0, 0, 0, 5, 45
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\informations\about-us\about-us.component.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\informations\contact-us\contact-us.component.html", "HTML", 0, 0, 0, 0, 0, 61, 0, 0, 0, 13, 74
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\informations\contact-us\contact-us.component.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\informations\informations-routing.module.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 3, 28
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\informations\informations.module.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\informations\newsletter\newsletter.component.html", "HTML", 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\informations\newsletter\newsletter.component.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\informations\privacy-policy\privacy-policy.component.html", "HTML", 0, 0, 0, 0, 0, 40, 0, 0, 0, 6, 46
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\informations\privacy-policy\privacy-policy.component.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\informations\regulations\regulations.component.html", "HTML", 0, 0, 0, 0, 0, 41, 0, 0, 0, 5, 46
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\informations\regulations\regulations.component.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\login\login-routing.module.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\login\login.component.html", "HTML", 0, 0, 0, 0, 0, 61, 0, 0, 0, 22, 83
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\login\login.component.ts", "TypeScript", 0, 0, 0, 48, 0, 0, 0, 0, 0, 7, 55
